locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOPHJHGO_00528	CDS	1719				hypothetical protein
BOPHJHGO_00529	CDS	435				hypothetical protein
BOPHJHGO_00530	CDS	969				hypothetical protein
BOPHJHGO_00531	CDS	1374				hypothetical protein
BOPHJHGO_00532	CDS	1284				hypothetical protein
BOPHJHGO_00533	CDS	135				hypothetical protein
BOPHJHGO_00534	CDS	2832		1.17.4.1		Ribonucleoside-diphosphate reductase large subunit
BOPHJHGO_00535	CDS	1035				hypothetical protein
BOPHJHGO_00536	CDS	1656				hypothetical protein
BOPHJHGO_00537	CDS	843				hypothetical protein
BOPHJHGO_00538	CDS	300				hypothetical protein
BOPHJHGO_00539	CDS	834				hypothetical protein
BOPHJHGO_00540	CDS	705				hypothetical protein
BOPHJHGO_00541	CDS	759				hypothetical protein
BOPHJHGO_00542	CDS	408				hypothetical protein
BOPHJHGO_00543	CDS	558				hypothetical protein
BOPHJHGO_00544	CDS	684				hypothetical protein
